page,chunk_id,label,bootstrap_score,text_preview,full_text
14,14_4,Information Technology,7,"and city resilience by expanding 
the current  metro system. Furthermore, the development of a T OD strategy 
along the metro corridor  is envisaged.  
• Mobilizing Priv ate Capital for Infrastructure Strategy.  A PPP scheme will be  
adopted  for AFC,50 which will facilitate fiscally constrained  governments to 
deliver urban infrastructure.  
 
 
47 For further details on the measures proposed, ...","and city resilience by expanding 
the current  metro system. Furthermore, the development of a T OD strategy 
along the metro corridor  is envisaged.  
• Mobilizing Priv ate Capital for Infrastructure Strategy.  A PPP scheme will be  
adopted  for AFC,50 which will facilitate fiscally constrained  governments to 
deliver urban infrastructure.  
 
 
47 For further details on the measures proposed, see Section 4.E. and Annex 4 .  
48 This will be funded with GOK/GOI’s contributions.  
49 This a project proposed by Kerala Rail Development Corporation Limited (K -RAIL),  which is 
currently  pending of GOI’s  approval  (the DPR was prepared in June 2020) . The total length of the project 
is 529.45 km spanning from  Thiruvananthapuram to Kasaragod (via Kollam, Chengannur, Kottayam, 
Ernakulam, Kochi Airport, Thrissur, Tirur, Kozhikode, and Kannur). The total expected cost of this project is 
USD7.6 billion.  Sources:  (i); Systra for KRAIL; DPR titled “ Semi High Speed rail Corridor 
(Thir"
14,14_5,Finance,2," Kochi Airport, Thrissur, Tirur, Kozhikode, and Kannur). The total expected cost of this project is 
USD7.6 billion.  Sources:  (i); Systra for KRAIL; DPR titled “ Semi High Speed rail Corridor 
(Thiruvananthapuram to Kasaragod"" ; June 2020;  and (ii) The Hindu; ""Kerala revises its plan for semi -high 
speed rail line""; July 2023; ( link). 
50 For further details on the AFC model, see the Financin..."," Kochi Airport, Thrissur, Tirur, Kozhikode, and Kannur). The total expected cost of this project is 
USD7.6 billion.  Sources:  (i); Systra for KRAIL; DPR titled “ Semi High Speed rail Corridor 
(Thiruvananthapuram to Kasaragod"" ; June 2020;  and (ii) The Hindu; ""Kerala revises its plan for semi -high 
speed rail line""; July 2023; ( link). 
50 For further details on the AFC model, see the Financing Plan in the Section 3. E."
15,15_1,Information Technology,6,"10 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
14. Paris Agreement  Alignment (PAA) . The project is aligned with the Paris 
Agreement  (PA)’s goals  in terms of mitigation ( building block { BB}1) and adaptation 
(BB2)51 as justified below . 
• BB1. Electric urban mobility projects,  as Phase II of Kochi Metro Rail , are 
considered universally aligned  for BB1 . 
• BB2. The ...","10 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
14. Paris Agreement  Alignment (PAA) . The project is aligned with the Paris 
Agreement  (PA)’s goals  in terms of mitigation ( building block { BB}1) and adaptation 
(BB2)51 as justified below . 
• BB1. Electric urban mobility projects,  as Phase II of Kochi Metro Rail , are 
considered universally aligned  for BB1 . 
• BB2. The project is also deemed  aligned for BB2 as (i) the climate risk and 
vulnerability context  is established in the  Environmental Impact Assessment (EIA)  
and the Environmental Due Diligence Report (EDDR) ; (ii) climate adaptation and 
resilience  measures to address  the identified material physical climate risks were  
proposed  in the EDDR and will be integrated into the forthcoming Detailed 
Engineering Designs (DEDs) ; and (iii) the operation and its components are not 
inconsistent with the national /broad context for climate  resilience  as outlined in 
India’s  Nationally Determined Co"
15,15_2,Information Technology,7,"ngineering Designs (DEDs) ; and (iii) the operation and its components are not 
inconsistent with the national /broad context for climate  resilience  as outlined in 
India’s  Nationally Determined Contribution (NDC) ,52 India’s Long -Term Low -
Carbon Development Strategy53, and the Kerala State Action Plan on Climate 
Change (2023 – 2030) .54 Please refer to Annex 5 for further information.  
15...","ngineering Designs (DEDs) ; and (iii) the operation and its components are not 
inconsistent with the national /broad context for climate  resilience  as outlined in 
India’s  Nationally Determined Contribution (NDC) ,52 India’s Long -Term Low -
Carbon Development Strategy53, and the Kerala State Action Plan on Climate 
Change (2023 – 2030) .54 Please refer to Annex 5 for further information.  
15. Value Addition by AIIB.  Beyond the provision of financing, AIIB will bring its 
accumulated experience and technical knowledge on preparing and implementing 
similar metro projects in Asia, and India .55 AIIB’s participation will strength en the project 
by contributing to : 
• enhanc e KMRL’s technical  and project management capacity in prepar ing and 
implement ing large infrastructure projects  consistent  with Multilateral 
Development Bank (MDB)’s standards ;  
• strengthen the  preparation and implementation of  E&S instruments , while 
building KMRL’s E&S management capacity;  
• as"
15,15_3,Information Technology,8,"cts  consistent  with Multilateral 
Development Bank (MDB)’s standards ;  
• strengthen the  preparation and implementation of  E&S instruments , while 
building KMRL’s E&S management capacity;  
• assess the  climate  vulnerability and  risks to guide the selection of appropriate 
climate adaptation measures to be integrated into the  DEDs  of the project  to 
deliver climate -smart rail -based i...","cts  consistent  with Multilateral 
Development Bank (MDB)’s standards ;  
• strengthen the  preparation and implementation of  E&S instruments , while 
building KMRL’s E&S management capacity;  
• assess the  climate  vulnerability and  risks to guide the selection of appropriate 
climate adaptation measures to be integrated into the  DEDs  of the project  to 
deliver climate -smart rail -based infrastructure;  
• improve procurement document quality, strengthen competition , and achieve a 
greater value for money following AIIB’s Procurement Policy;  
• bring  innovative solutions to promote multi -modal integration and last -mile 
connectivity ; and  
• leverag e private capital for the implementation of AFC and provide guidance for 
planning and implementing  TOD strategies . 
 
 
51 The assessment was conducted using the methodologies proposed in the (i) “BB1 and BB2 Technical 
Note. Joint Multilateral Development Bank (MDB) Assessment Framework for Paris Alignment for Direct 
Inv"
15,15_4,Information Technology,5,"he assessment was conducted using the methodologies proposed in the (i) “BB1 and BB2 Technical 
Note. Joint Multilateral Development Bank (MDB) Assessment Framework for Paris Alignment for Direct 
Investment Operations ”; November 2021; ( link); (ii)  AIIB; “ Guidance Note on Assessing Financing 
Operations’ Alignment with the Paris Agreement at AIIB. Version 1.0 ”; June 2023 . 
52 GOI; “ India’s ...","he assessment was conducted using the methodologies proposed in the (i) “BB1 and BB2 Technical 
Note. Joint Multilateral Development Bank (MDB) Assessment Framework for Paris Alignment for Direct 
Investment Operations ”; November 2021; ( link); (ii)  AIIB; “ Guidance Note on Assessing Financing 
Operations’ Alignment with the Paris Agreement at AIIB. Version 1.0 ”; June 2023 . 
52 GOI; “ India’s Updated First Nationally Determined Contribution Under Paris Agreement (2021 -2030) 
Submission to United Nations Framework Convention on Climate Change (UNFCCC) ”; August 2022,  (link). 
53 One of the priorities of this Strategy is promoting climate adaptation in urban designs. Source: Ministry of 
Environment, Forest and Climate Change (GOI) ; “India’s Long -Term Low -Carbon Development Strategy”; 
Submission to the United Nations Framework Convention on Climate Change; 2022; ( link). 
54 Directorate of Environment and Climate Change, Department of Environment, GOK; “ Kerala State Action 
Pl"
15,15_5,Project Management,5,"”; 
Submission to the United Nations Framework Convention on Climate Change; 2022; ( link). 
54 Directorate of Environment and Climate Change, Department of Environment, GOK; “ Kerala State Action 
Plan on Climate Change 2023 -2030 ”; 2022; ( link). 
55 E.g., (i) Chennai Metro Rail Phase 2 Project – Balance Corridor 5 (USD438.75 million, approved in April 
2023);  (ii) Mumbai Urban Transport Proje...","”; 
Submission to the United Nations Framework Convention on Climate Change; 2022; ( link). 
54 Directorate of Environment and Climate Change, Department of Environment, GOK; “ Kerala State Action 
Plan on Climate Change 2023 -2030 ”; 2022; ( link). 
55 E.g., (i) Chennai Metro Rail Phase 2 Project – Balance Corridor 5 (USD438.75 million, approved in April 
2023);  (ii) Mumbai Urban Transport Project 3A – Station Improvement (USD100 million, approved in 
October 2023); (iii) Haryana Orbital Rail Corridor (HORC) Part A  Project (USD128 million, approved in 
December 2022); (iv) Chennai Metro Rail Phase 2 Project - Corridor 4 (USD356.67 million, approved in 
September 2021); (v) Delhi -Meerut Regional Rapid Transit System (USD500 million, approved in October 
2020); or (vi) M umbai Urban Transport Project - Phase III (USD500 million, approved in September 2019)."
16,16_1,Information Technology,11,"11 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
16. Value Addition to AIIB.  The proposed project will be the first time AIIB ’s 
financing  to KMRL. The rail -based mass rapid transit system supported by the operation 
will be fully integrated with the  Kochi Water Metro . Consequently, the operation will 
enable building AIIB’s knowledge on inter modality  between rail - and ...","11 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
16. Value Addition to AIIB.  The proposed project will be the first time AIIB ’s 
financing  to KMRL. The rail -based mass rapid transit system supported by the operation 
will be fully integrated with the  Kochi Water Metro . Consequently, the operation will 
enable building AIIB’s knowledge on inter modality  between rail - and water -based urban 
transport systems. In addition, the operation will increase AIIB's experience in urban 
mass transport and contribute to the achievement of the AIIB's above -mentioned 
thematic priorities and strategies . The successful implementation of th e project  could 
lead to o ther investment opportunities  with KMRL , such as Phase III of the Kochi Metro 
Rail, some urban regeneration project s in Kochi  or rail- and water -based metro projects  
(to be prepared and implemented by KMRL ) in other Indian cities.  
C. Lessons Learnt  and Reflected in the Project Design  
17. The pro"
16,16_2,Project Management,8," project s in Kochi  or rail- and water -based metro projects  
(to be prepared and implemented by KMRL ) in other Indian cities.  
C. Lessons Learnt  and Reflected in the Project Design  
17. The project ’s design is informed by experiences from implementing  metro and 
railway projects in and outside India , financed by AIIB and other international financial 
institution s (IFIs). Lessons are al..."," project s in Kochi  or rail- and water -based metro projects  
(to be prepared and implemented by KMRL ) in other Indian cities.  
C. Lessons Learnt  and Reflected in the Project Design  
17. The project ’s design is informed by experiences from implementing  metro and 
railway projects in and outside India , financed by AIIB and other international financial 
institution s (IFIs). Lessons are also drawn from KMRL's experience in designing and 
implementing Phase I of the Kochi Metro. Relevant lessons incorporated into project 
preparation include:   
• Land Acquisition and Utility Shifting: One of the pressing reasons for the 
implementation delay of Phase I stemmed from the delay in completing land 
acquisition  and utility shifting. Learning from Phase I, KMRL has already initiated 
and made substantial progress in both areas  for Phase II.  
• First- and Last-mile Connectivity : One of the reasons identified for the lower -
than-expected ridership of Phase I was the lack of adequa"
16,16_3,Information Technology,6,"d made substantial progress in both areas  for Phase II.  
• First- and Last-mile Connectivity : One of the reasons identified for the lower -
than-expected ridership of Phase I was the lack of adequate infrastructure and 
services to access the system .56 Phase II considers intermodal integration of 
feeder services  as well as the development of NMT infrastructure.  
• Interoperability: For a sm...","d made substantial progress in both areas  for Phase II.  
• First- and Last-mile Connectivity : One of the reasons identified for the lower -
than-expected ridership of Phase I was the lack of adequate infrastructure and 
services to access the system .56 Phase II considers intermodal integration of 
feeder services  as well as the development of NMT infrastructure.  
• Interoperability: For a smoother integration and reduced costs of operation and 
maintenance  (O&M ), some of the systems and the trains utilized will be the same 
for both Phase I and Phase II. For further details, see the Section 4. A.  
• Civil and Track  Works : Considering th e recent flood s and the maritime 
environment of Kochi , Phase II will include  drainage improvements in turnout 
areas, redesigning base plates for better insulation, using galvanized steel 
structures for corrosion resistance,  and introducing non -corrosive roof sheet 
gutters. In addition, a strong emphasis will be placed on water manage"
16,16_4,Information Technology,11,"s for better insulation, using galvanized steel 
structures for corrosion resistance,  and introducing non -corrosive roof sheet 
gutters. In addition, a strong emphasis will be placed on water management to 
facilitate rainwater harvesting, waterproofing, and appropriate drainage.  
• Communication:  The communication system will be enhanced by optimizing the 
fiber optic cable network, introduci...","s for better insulation, using galvanized steel 
structures for corrosion resistance,  and introducing non -corrosive roof sheet 
gutters. In addition, a strong emphasis will be placed on water management to 
facilitate rainwater harvesting, waterproofing, and appropriate drainage.  
• Communication:  The communication system will be enhanced by optimizing the 
fiber optic cable network, introducing  Passenger Information Display System  
(PIDS ) at the street level, integrating  CCTV with the existing security control 
room, and providing Surge Protection Device (SPD) for telecom data to protect 
against lightning/surge. Harder materials will be used for AFC gate flaps and 
enhanced QR readers will be installed on AFC gates to improve ticket readability . 
• Rolling Stock:  Several actions are considered to improve  the durability and 
reliability of train equipment . This includes the use of suitable seats (may be 
metal seats instead of  Fiber Reinforced Plastic  {FRP} seats) and ad"
16,16_5,Information Technology,4,"s are considered to improve  the durability and 
reliability of train equipment . This includes the use of suitable seats (may be 
metal seats instead of  Fiber Reinforced Plastic  {FRP} seats) and addressing 
certain hardware failures (e.g.,  those related to  Advanced Protection System 
(APS), antenna mountings, saloon light, CCTV , and PIDS ).  
 
 
56 Systra and Quadrant Conseil for KMRL and t...","s are considered to improve  the durability and 
reliability of train equipment . This includes the use of suitable seats (may be 
metal seats instead of  Fiber Reinforced Plastic  {FRP} seats) and addressing 
certain hardware failures (e.g.,  those related to  Advanced Protection System 
(APS), antenna mountings, saloon light, CCTV , and PIDS ).  
 
 
56 Systra and Quadrant Conseil for KMRL and the Agence  Franç aise de Dé veloppement  (AFD); “ Ex-post 
Evaluation of Kochi Metro Project (Phase I) ”; November 18, 2021 ."
17,17_1,Procurement,12,"12 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
D. Components  
18. The project comprises  three components as indicated below. While AIIB will 
finance only  part of  components 1 and 2, component 3 will be solely financed by the 
local funds from India.  
• Component 1 – Civil Works ( CW). This will support the design and build of 11.2 
km of elevated viaduct, 11 stations , t...","12 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
D. Components  
18. The project comprises  three components as indicated below. While AIIB will 
finance only  part of  components 1 and 2, component 3 will be solely financed by the 
local funds from India.  
• Component 1 – Civil Works ( CW). This will support the design and build of 11.2 
km of elevated viaduct, 11 stations , tracks , and other related civil works  
(including barrier -free, gender -responsive , and climate -resilient features ).57 
Specifically, this component will finance  the (i)  design and build  of 11.2 km of 
viaduct  and 11 station s; (ii) architectural finishes for all stations ; (iii) design and 
build for track work ; (iv) construction of the  entry/exit structure s for all stations ; 
(v) construction  of KMRL  staff quarters ; and (vi) implementation  of NMT works . 
• Component 2 – Railway Systems  and Trains  (RS&T). This will support the 
procurement , installation , and commissionin"
17,17_2,Procurement,17,"nstruction  of KMRL  staff quarters ; and (vi) implementation  of NMT works . 
• Component 2 – Railway Systems  and Trains  (RS&T). This will support the 
procurement , installation , and commissioning of systems, including (i) traction 
and power supply facilities, as well as SCADA ; (ii) auxiliary main substation ; (iii) 
electrical and mechanical (E&M) works ; (iv) telecommunications ; (v) secu...","nstruction  of KMRL  staff quarters ; and (vi) implementation  of NMT works . 
• Component 2 – Railway Systems  and Trains  (RS&T). This will support the 
procurement , installation , and commissioning of systems, including (i) traction 
and power supply facilities, as well as SCADA ; (ii) auxiliary main substation ; (iii) 
electrical and mechanical (E&M) works ; (iv) telecommunications ; (v) security 
control ; and (vi) AFC . This component will also finance the design, procurement, 
installation , and commissioning of  (vii) lift(s), (viii) escalator(s) ; and (ix) the 
procurement of 5 new trains . 
• Component 3 – Design and Implementation Support . This will support the 
procurement of  five consultancy assignments  in support  of project 
implementation , including: the (i) GC, (ii) Detailed Design Consultants  (DDCs)  
for the stations ; (iii) DDC for  the traction systems, (iv) proof consultants for power 
supply and distribution systems, and (v) independent safety assessor.  
E"
17,17_3,Information Technology,5,"etailed Design Consultants  (DDCs)  
for the stations ; (iii) DDC for  the traction systems, (iv) proof consultants for power 
supply and distribution systems, and (v) independent safety assessor.  
E. Cost and Financing Plan  
19. Project’s Cost . The estimated cost of the project is USD229.88 million, with a 
loan from AIIB of USD122.32 million, a GOI contribution of USD40.76 million, and a 
GOK...","etailed Design Consultants  (DDCs)  
for the stations ; (iii) DDC for  the traction systems, (iv) proof consultants for power 
supply and distribution systems, and (v) independent safety assessor.  
E. Cost and Financing Plan  
19. Project’s Cost . The estimated cost of the project is USD229.88 million, with a 
loan from AIIB of USD122.32 million, a GOI contribution of USD40.76 million, and a 
GOK contribution of USD66.80 million.  
20. Financing Plan . The Phase II financing structure will mirror the same approach 
as that of Phase I. This will include public sector financing (from GOK and GOI), and an 
official development assistance (ODA) loan (from AIIB) . In February 2023, a  tripartite 
Memorandum of Understanding (MOU) was signed among GOI, GOK, and KMRL to 
articulate, among others, the detailed financing terms, and mechanisms, as summarized 
in the paragraphs and table below:  
• The loan will be used to cover 82  percent  of the  contract amount for  item (i), 50 
percent of "
17,17_4,Finance,7,", the detailed financing terms, and mechanisms, as summarized 
in the paragraphs and table below:  
• The loan will be used to cover 82  percent  of the  contract amount for  item (i), 50 
percent of the contract amount for item ( ii) and 73 percent of the contract amount 
for item (iii) of Component  1; 49 percent of the contract amount for  Component 
2; and the front -end fee.  
• GOI’s and GOK...",", the detailed financing terms, and mechanisms, as summarized 
in the paragraphs and table below:  
• The loan will be used to cover 82  percent  of the  contract amount for  item (i), 50 
percent of the contract amount for item ( ii) and 73 percent of the contract amount 
for item (iii) of Component  1; 49 percent of the contract amount for  Component 
2; and the front -end fee.  
• GOI’s and GOK ’s contributions58 will cover the remaining costs for the 3 
proposed components  (except for the AFC) , the  land acquisition and 
resettlement costs  (including compensations, livelihood restoration programs ), 
 
 
57 For further details on these feature s, please refer to  the sections  4. E. and 4. F.  
58 GOK will release funds for Phase II under the Major Infrastructure Development Project (MIDP) Fund 
through re -appropriation basis as and when funds are solicited by KMRL based on capital budgeting 
requirements.  GOI will release its portion based on the physical progress of works."
18,18_1,Information Technology,9,"13 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
utility shifting, taxes , duties , the commitment fee,  and the interest during 
construction  (IDC). 
Table 1.  Project  Financing Plan  (USD million)  
Item Total  GOI GOK  AIIB 
Component 1 (CW)  148.75  22.33  18.12  108.30  
Component 2 (RS&T)  60.47  18.43  28.33 13.71 
Component 3  5.95 0.00 5.95 0.00 
Land Acquisition & Re...","13 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
utility shifting, taxes , duties , the commitment fee,  and the interest during 
construction  (IDC). 
Table 1.  Project  Financing Plan  (USD million)  
Item Total  GOI GOK  AIIB 
Component 1 (CW)  148.75  22.33  18.12  108.30  
Component 2 (RS&T)  60.47  18.43  28.33 13.71 
Component 3  5.95 0.00 5.95 0.00 
Land Acquisition & Resettlement  9.95 0.00 9.95 0.00 
Front -end Fee  0.31 0.00 0.00 0.31 
Commitment Fee  and IDC  4.45 0.00 4.45 0.00 
Grand Total   229.88  40.76  66.80  122.32  
Source:  KMRL . 
• The project also includes a PPP element for the installation and operation of AFC, 
which  is expected to be entirely implemented by the same private consortium 
responsible for Phase I. This consortium is led by Axis Bank Ltd. (an Indian bank) 
and includes ASIS Technologies Ltd. (a Turkish technological company) and 
AGS Transact Technologies Ltd. (an India n IT firm). The contract was signed 
between KMRL and Axis"
18,18_2,Project Management,7,"nk Ltd. (an Indian bank) 
and includes ASIS Technologies Ltd. (a Turkish technological company) and 
AGS Transact Technologies Ltd. (an India n IT firm). The contract was signed 
between KMRL and Axis Bank Ltd. on June 10, 2015 , for Phase I, and it is 
expected to be expanded to also cover Phase II. The private consortium is 
expected to cover the costs for the procurement and installation of the...","nk Ltd. (an Indian bank) 
and includes ASIS Technologies Ltd. (a Turkish technological company) and 
AGS Transact Technologies Ltd. (an India n IT firm). The contract was signed 
between KMRL and Axis Bank Ltd. on June 10, 2015 , for Phase I, and it is 
expected to be expanded to also cover Phase II. The private consortium is 
expected to cover the costs for the procurement and installation of the AFC 
infrastructure for Phase II (approximately USD5.64 M).59  
F. Implementation  Readiness  and Arrangements  
21. Implementation Period. The project’s implementation period is expected to run 
from Q 3 2024 to Q 4 2027.  
22. Implementation Readiness.  The DPR for Phase II was prepared in  September 
2014, subsequently revised  in September  2016 ,60 in February 2018 (to align  it with the 
Metro Rail Policy of 2017 )61, and in January 2019  (to update the cost estimation and the 
economic and financial analyses ). GOI approved the project tentatively in February 2019, 
and finally in Nove"
18,18_3,Information Technology,5,"tro Rail Policy of 2017 )61, and in January 2019  (to update the cost estimation and the 
economic and financial analyses ). GOI approved the project tentatively in February 2019, 
and finally in November 2022. The Housing and Urban Development Corporation 
(HUDCO) has already provided  a loan to KMRL (guaranteed by GOK) of almost USD10 
million for land acquisition . In 2023, GOI released  around...","tro Rail Policy of 2017 )61, and in January 2019  (to update the cost estimation and the 
economic and financial analyses ). GOI approved the project tentatively in February 2019, 
and finally in November 2022. The Housing and Urban Development Corporation 
(HUDCO) has already provided  a loan to KMRL (guaranteed by GOK) of almost USD10 
million for land acquisition . In 2023, GOI released  around  USD12 million , and GOK has 
committed to  match th at contribution during the first half of 2024 to initiate the project’s 
implementation . Approximately 83 percent of the land needed for road widening62 and 
to construct the viaduct and 45  percent  of the land needed for the construction  of the 
stations have been already acquired . It is expected that all the land will be taken over 
by KMRL during the first half of 2024 . As of January 2024, 54 percent of the u tility shifting 
work has been implemented and the balance is  expected to be completed by August 
2024 . Five contracts  hav"
18,18_4,Information Technology,5,"RL during the first half of 2024 . As of January 2024, 54 percent of the u tility shifting 
work has been implemented and the balance is  expected to be completed by August 
2024 . Five contracts  have already been awarded  (and the related firms/contractors 
 
 
59 For Phase I, the consortium also covers the  O&M  costs for 10 years , and, in compensation, it will receive 
4 percent of the fare b...","RL during the first half of 2024 . As of January 2024, 54 percent of the u tility shifting 
work has been implemented and the balance is  expected to be completed by August 
2024 . Five contracts  have already been awarded  (and the related firms/contractors 
 
 
59 For Phase I, the consortium also covers the  O&M  costs for 10 years , and, in compensation, it will receive 
4 percent of the fare box revenues.  The same approach is expected to be followed for Phase II.  
60 To align it with costing guidelines issued by MOHUA.  
61 Ministry of Housing and Urban Affairs (MOHUA ); “Metro Rail Policy ”; 2017; (link). 
62 About 6.15 k m of road widening is required, with 50 percent already completed  as of January 2024 ."
19,19_1,Information Technology,7,"14 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
mobilized) , including the GC (in July 2023) , the DDC for the stations (in April 2023 ) and 
traction  (in May 2023 ), and the civil contractor  for the construction of the entry/exit 
structure for SEZ and Kakkanad  stations  (in March 2023 ) and Chittethukara, Kinfra Park, 
and I nfopark stations  (in October  2023 ), for which...","14 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
mobilized) , including the GC (in July 2023) , the DDC for the stations (in April 2023 ) and 
traction  (in May 2023 ), and the civil contractor  for the construction of the entry/exit 
structure for SEZ and Kakkanad  stations  (in March 2023 ) and Chittethukara, Kinfra Park, 
and I nfopark stations  (in October  2023 ), for which the civil works are ongoing . In 
September  2023, KMRL invited tenders  (under advance procurement ) for the  largest 
package  (around USD 118.4  million) , which corresponds to  the design and build contract 
for the viaduct and the s tation main box . It is expected that t he contract will  be ready for 
award by loan effectiveness . All these activities will contribute to achiev ing high project 
readiness for implementation  and meeting GOI’s readiness criteria .  
23. Implementation  Arrangements.  KMRL  will be the implementing entity  for the 
Phase II . KMRL is a joint venture publi"
19,19_2,Project Management,7,"ject 
readiness for implementation  and meeting GOI’s readiness criteria .  
23. Implementation  Arrangements.  KMRL  will be the implementing entity  for the 
Phase II . KMRL is a joint venture public sector company of GOI (50 percent)  and G OK 
(50 percent ), which  was established  in 2011  with a mandate to implement , operate , and 
maintain the Kochi Metro Rail project (s) following the  or...","ject 
readiness for implementation  and meeting GOI’s readiness criteria .  
23. Implementation  Arrangements.  KMRL  will be the implementing entity  for the 
Phase II . KMRL is a joint venture public sector company of GOI (50 percent)  and G OK 
(50 percent ), which  was established  in 2011  with a mandate to implement , operate , and 
maintain the Kochi Metro Rail project (s) following the  orders of the Planning 
Commission63 and G OI.  KMRL  has identified a team of key staff (headed by the current 
Director Projects  {DP}) that will be  responsible for the day-to-day implementation of the 
project . This team will include multi -disciplinary  staff representing , among others,  
technical, procurement, environment al, social, financial management  (FM) , and 
monitoring and evaluation (M&E) areas.  It will also include staff who were seconded to  
Delhi  Metro Rail Corporation  (DMRC ) during the procurement and implementation of 
Phase  I, so that the  technical know -how and l"
19,19_3,Procurement,8,"on (M&E) areas.  It will also include staff who were seconded to  
Delhi  Metro Rail Corporation  (DMRC ) during the procurement and implementation of 
Phase  I, so that the  technical know -how and lessons learnt will be capitalized .  KMRL 
will also recruit additional staff/consultants , as and when required,  to work as part of th is 
team . GC shall support KMRL  in the implementation of the ...","on (M&E) areas.  It will also include staff who were seconded to  
Delhi  Metro Rail Corporation  (DMRC ) during the procurement and implementation of 
Phase  I, so that the  technical know -how and lessons learnt will be capitalized .  KMRL 
will also recruit additional staff/consultants , as and when required,  to work as part of th is 
team . GC shall support KMRL  in the implementation of the project.  GOI and GOK  will 
not only contribute to  funding the project, but they  will also support KMRL in obtaining 
necessary approvals and clearances and meeting regulatory compliances  and providing 
policy and regulatory support at central and state level s, respectively . In addition, 
KMRL’s Board of Directors  (which includes  representatives from GOI , GOK  and KMRL ) 
will conduct  quarterly  review meetings to  oversight  the imple mentation  progress . PIM 
has been  prepared by KMRL64 to clearly describe the roles and responsibilities  of all the 
agencies engaged during implem"
19,19_4,Procurement,16,"arterly  review meetings to  oversight  the imple mentation  progress . PIM 
has been  prepared by KMRL64 to clearly describe the roles and responsibilities  of all the 
agencies engaged during implementation  and the essential workflows for key project 
activities .  
24. Procurement  Arrangements . KMRL will be responsible for procuring  all the 
packages under the project . KMRL has a team of e...","arterly  review meetings to  oversight  the imple mentation  progress . PIM 
has been  prepared by KMRL64 to clearly describe the roles and responsibilities  of all the 
agencies engaged during implementation  and the essential workflows for key project 
activities .  
24. Procurement  Arrangements . KMRL will be responsible for procuring  all the 
packages under the project . KMRL has a team of experienced procurement staff and 
will be supported by GC. A Technical Evaluation Committee  (TEC ) constituted within 
KMRL , will evaluate the tenders . The AIIB’s Procurement Policy (January 2016, as 
revised in June 2024 ) and the Directive on Procurement Instructions for Recipients (PIR) 
(July 2024 ) will be followed for all the packages that will receive AIIB’s financing. The 
contracts shall be procured following international open competitive tendering (IOCT)65 
and national competitive tendering (NCT)66 as set out in sections 2.11.2 and 2.11 .5 of 
the PIR , respectively . There will"
19,19_5,Legal & Compliance,5,"ll be procured following international open competitive tendering (IOCT)65 
and national competitive tendering (NCT)66 as set out in sections 2.11.2 and 2.11 .5 of 
the PIR , respectively . There will be no restriction on the source of providing the goods, 
works , and services from any countries in the IOCT contracts , and domestic preference 
or purchase preference shall not apply to IOCT.  
 
 ...","ll be procured following international open competitive tendering (IOCT)65 
and national competitive tendering (NCT)66 as set out in sections 2.11.2 and 2.11 .5 of 
the PIR , respectively . There will be no restriction on the source of providing the goods, 
works , and services from any countries in the IOCT contracts , and domestic preference 
or purchase preference shall not apply to IOCT.  
 
 
63 This has been replaced by  the National Institute for Tran sforming India or  NITI Aayog. 
64 PIM’s  approval  by AIIB  is expected  within 3 months from the loan’s signature date.  
65 IOCT shall be followed for any works contract estimated to cost USD40 million or higher, and any goods 
contract estimated to cost USD3 million or higher.  
66 NCT tendering shall be followed for works contracts estimated to cost less than USD40 million, and any 
goods contract estimated to cost less than USD3 million."
20,20_1,Information Technology,12,"15 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
25. FM Arrangements . KMRL will be responsible for the overall project FM and 
disbursement s. The accrual basis accounting system will be followed for project 
accounting. KMRL will maintain project accounts and have custody of supporting 
documents. The project's financial progress will be reported quarterly through Interim 
Una...","15 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
25. FM Arrangements . KMRL will be responsible for the overall project FM and 
disbursement s. The accrual basis accounting system will be followed for project 
accounting. KMRL will maintain project accounts and have custody of supporting 
documents. The project's financial progress will be reported quarterly through Interim 
Unaudited Financial Reports (IUFRs) to be submitted within 45 days of each quarter's 
end. KMRL will present the project's audited financial statements for each year of project 
implementation within nine months following the  end of the  fiscal yea r.  
26. E&S Monitoring and Supervision Arrangements. KMRL will be responsible 
for the overall coordination, supervision, and monitoring of the project’s E&S aspects. 
KMRL will establish an E&S team to manage E&S aspects associated with the design, 
implementation, and monitoring of the project. KMRL will submit bi-annual  E&S 
monitoring reports to"
